#Bootstrap calculation took   1.0 minutes with   200 samples
#Barrier height:           24.2337357452
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
             33       -0.13696        0.04118       -0.22961        0.31196        0.27079
            133       -0.09696        0.25116        0.04333        0.45900        0.20784
            391       -0.05696        0.25846        0.09180        0.42512        0.16666
            648       -0.01696        0.31445        0.14641        0.48249        0.16804
            926        0.02304        0.19093        0.01962        0.36223        0.17130
            949        0.06304        0.14686       -0.00861        0.30233        0.15547
           1008        0.10304        0.07881       -0.07882        0.23645        0.15763
            956        0.14304        0.05708       -0.08886        0.20302        0.14594
            961        0.18304        0.04354       -0.10230        0.18937        0.14584
            979        0.22304        0.03422       -0.11263        0.18106        0.14685
            928        0.26304        0.03014       -0.11090        0.17117        0.14104
            992        0.30304        0.00000       -0.15174        0.15174        0.15174
            956        0.34304        0.05321       -0.08872        0.19515        0.14194
            957        0.38304        0.08472       -0.05920        0.22864        0.14392
            995        0.42304        0.07339       -0.06933        0.21612        0.14272
            979        0.46304        0.07758       -0.06504        0.22020        0.14262
           1010        0.50304        0.08000       -0.07979        0.23979        0.15979
            957        0.54304        0.12595       -0.02025        0.27216        0.14620
            953        0.58304        0.16029        0.01544        0.30514        0.14485
           1019        0.62304        0.15604        0.00126        0.31083        0.15479
            911        0.66304        0.24519        0.11475        0.37563        0.13044
            920        0.70304        0.27270        0.14243        0.40297        0.13027
            889        0.74304        0.29668        0.17560        0.41777        0.12108
           1004        0.78304        0.24351        0.09798        0.38904        0.14553
           1098        0.82304        0.24286        0.09527        0.39045        0.14759
            938        0.86304        0.37650        0.25623        0.49678        0.12027
            864        0.90304        0.50176        0.37275        0.63076        0.12901
            861        0.94304        0.52663        0.40619        0.64707        0.12044
            895        0.98304        0.52499        0.39066        0.65932        0.13433
            986        1.02304        0.51802        0.35760        0.67844        0.16042
            945        1.06304        0.56871        0.44013        0.69728        0.12857
           1120        1.10304        0.50367        0.39098        0.61637        0.11269
           1023        1.14304        0.61130        0.49711        0.72549        0.11419
            878        1.18304        0.79433        0.68128        0.90737        0.11304
            877        1.22304        0.89871        0.77405        1.02336        0.12465
            942        1.26304        0.89510        0.77384        1.01635        0.12126
            885        1.30304        0.98026        0.86649        1.09402        0.11376
            931        1.34304        1.01090        0.88288        1.13891        0.12801
            941        1.38304        1.04496        0.92627        1.16365        0.11869
           1101        1.42304        1.02082        0.87852        1.16312        0.14230
            829        1.46304        1.23738        1.12110        1.35366        0.11628
            986        1.50304        1.19473        1.07635        1.31310        0.11838
            964        1.54304        1.26512        1.14046        1.38979        0.12467
            936        1.58304        1.32210        1.20706        1.43713        0.11503
            969        1.62304        1.40460        1.28713        1.52208        0.11748
            965        1.66304        1.49991        1.38546        1.61437        0.11445
            953        1.70304        1.61283        1.50010        1.72556        0.11273
            881        1.74304        1.78385        1.66339        1.90430        0.12045
            890        1.78304        1.83481        1.71970        1.94992        0.11511
           1055        1.82304        1.83122        1.69639        1.96606        0.13484
            917        1.86304        1.99147        1.86504        2.11790        0.12643
            879        1.90304        2.09065        1.98383        2.19746        0.10682
           1114        1.94304        2.10703        1.98369        2.23036        0.12333
            944        1.98304        2.34303        2.23499        2.45108        0.10804
            892        2.02304        2.54896        2.41860        2.67933        0.13036
            927        2.06304        2.69835        2.56840        2.82830        0.12995
            983        2.10304        2.81782        2.70656        2.92908        0.11126
            902        2.14304        3.08294        2.96053        3.20534        0.12240
            991        2.18304        3.20593        3.08963        3.32224        0.11631
            890        2.22304        3.47347        3.34585        3.60108        0.12761
            821        2.26304        3.73379        3.58454        3.88304        0.14925
            887        2.30304        3.82622        3.70139        3.95105        0.12483
           1036        2.34304        3.92479        3.80361        4.04597        0.12118
            886        2.38304        4.20748        4.08580        4.32916        0.12168
            981        2.42304        4.32739        4.20920        4.44559        0.11820
           1102        2.46304        4.50146        4.35887        4.64405        0.14259
            887        2.50304        4.86922        4.75438        4.98405        0.11483
            927        2.54304        5.14659        5.03511        5.25807        0.11148
           1005        2.58304        5.40316        5.28349        5.52284        0.11968
            851        2.62304        5.79361        5.68200        5.90521        0.11161
            932        2.66304        6.09198        5.95654        6.22742        0.13544
            972        2.70304        6.37074        6.23879        6.50269        0.13195
            902        2.74304        6.75449        6.63255        6.87642        0.12194
            954        2.78304        7.08896        6.95906        7.21887        0.12991
            973        2.82304        7.41854        7.29993        7.53715        0.11861
            912        2.86304        7.84899        7.71881        7.97917        0.13018
            889        2.90304        8.23604        8.10982        8.36226        0.12622
            964        2.94304        8.57250        8.44354        8.70146        0.12896
           1068        2.98304        8.96479        8.83022        9.09937        0.13458
            873        3.02304        9.52923        9.40719        9.65127        0.12204
            947        3.06304       10.00193        9.86594       10.13792        0.13599
           1018        3.10304       10.49636       10.36158       10.63114        0.13478
           1006        3.14304       11.04781       10.92389       11.17173        0.12392
           1034        3.18304       11.63014       11.49856       11.76171        0.13157
            984        3.22304       12.26481       12.14774       12.38188        0.11707
            975        3.26304       13.01412       12.88456       13.14368        0.12956
           1013        3.30304       13.76410       13.63410       13.89411        0.13001
           1013        3.34304       14.56952       14.43662       14.70243        0.13291
            837        3.38304       15.56757       15.41787       15.71727        0.14970
            983        3.42304       16.34284       16.21141       16.47427        0.13143
           1163        3.46304       17.23349       17.10673       17.36025        0.12676
           1031        3.50304       18.33256       18.20242       18.46270        0.13014
           1027        3.54304       19.41004       19.26311       19.55696        0.14693
            772        3.58304       20.66261       20.51841       20.80682        0.14420
            622        3.62304       21.71895       21.58963       21.84827        0.12932
            512        3.66304       22.67452       22.55190       22.79714        0.12262
            690        3.70304       23.25641       23.11610       23.39671        0.14030
            744        3.74304       23.76754       23.64099       23.89409        0.12655
            784        3.78304       24.07021       23.94974       24.19067        0.12047
            775        3.82304       24.23374       24.09657       24.37090        0.13717
            796        3.86304       24.19476       24.04821       24.34131        0.14655
            748        3.90304       24.04009       23.89984       24.18035        0.14025
            778        3.94304       23.72099       23.58615       23.85583        0.13484
            803        3.98304       23.27724       23.13955       23.41494        0.13770
            834        4.02304       22.69561       22.56155       22.82966        0.13405
            883        4.06304       22.10814       21.96526       22.25101        0.14287
           1108        4.10304       21.39765       21.25242       21.54288        0.14523
            975        4.14304       20.90092       20.76668       21.03517        0.13424
           1022        4.18304       20.36839       20.22520       20.51157        0.14319
           1011        4.22304       19.89137       19.75227       20.03048        0.13911
           1025        4.26304       19.45550       19.31388       19.59712        0.14162
            980        4.30304       19.05937       18.91550       19.20324        0.14387
            978        4.34304       18.64795       18.51552       18.78038        0.13243
            916        4.38304       18.31981       18.17108       18.46854        0.14873
            999        4.42304       17.87510       17.73319       18.01701        0.14191
           1061        4.46304       17.49085       17.34630       17.63539        0.14454
            913        4.50304       17.25793       17.11965       17.39620        0.13828
            920        4.54304       16.95213       16.80852       17.09574        0.14361
            889        4.58304       16.69936       16.53833       16.86040        0.16103
            930        4.62304       16.34227       16.18777       16.49676        0.15450
            982        4.66304       15.99235       15.84251       16.14218        0.14984
           1027        4.70304       15.68472       15.54368       15.82576        0.14104
            975        4.74304       15.47040       15.32264       15.61816        0.14776
            915        4.78304       15.28331       15.12430       15.44232        0.15901
            990        4.82304       14.98402       14.83398       15.13406        0.15004
            907        4.86304       14.81796       14.66577       14.97015        0.15219
            819        4.90304       14.65859       14.50581       14.81137        0.15278
           1006        4.94304       14.25866       14.10741       14.40991        0.15125
           1134        4.98304       13.94174       13.79330       14.09019        0.14845
           1048        5.02304       13.73640       13.59128       13.88151        0.14512
            909        5.06304       13.62062       13.47197       13.76927        0.14865
            939        5.10304       13.42828       13.27718       13.57938        0.15110
            911        5.14304       13.25903       13.11012       13.40793        0.14891
            886        5.18304       13.12324       12.95973       13.28675        0.16351
            867        5.22304       12.95454       12.79141       13.11767        0.16313
            954        5.26304       12.72183       12.57077       12.87289        0.15106
            994        5.30304       12.55253       12.39535       12.70971        0.15718
            964        5.34304       12.39992       12.24525       12.55459        0.15467
            903        5.38304       12.31197       12.15114       12.47281        0.16084
            917        5.42304       12.19371       12.03743       12.34999        0.15628
           1002        5.46304       12.02918       11.87657       12.18179        0.15261
            955        5.50304       11.97372       11.80903       12.13841        0.16469
            942        5.54304       11.87179       11.70710       12.03647        0.16469
            994        5.58304       11.77929       11.61916       11.93942        0.16013
           1004        5.62304       11.73415       11.57343       11.89486        0.16071
            904        5.66304       11.72508       11.56311       11.88705        0.16197
