#Bootstrap calculation took   1.3 minutes with   200 samples
#Barrier height:           24.1073954672
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
             99       -0.17885        0.89795        0.76258        1.03332        0.13537
           1131       -0.13885        0.76767        0.70940        0.82594        0.05827
           6991       -0.09885        0.68135        0.63768        0.72503        0.04367
          25005       -0.05885        0.59996        0.55816        0.64176        0.04180
          53147       -0.01885        0.51993        0.48365        0.55620        0.03627
          75993        0.02115        0.41195        0.37751        0.44639        0.03444
          79790        0.06115        0.31812        0.28708        0.34916        0.03104
          73713        0.10115        0.26343        0.23252        0.29434        0.03091
          70967        0.14115        0.21973        0.19066        0.24880        0.02907
          69382        0.18115        0.19817        0.16896        0.22737        0.02921
          68417        0.22115        0.18568        0.15674        0.21462        0.02894
          67969        0.26115        0.18095        0.15392        0.20798        0.02703
          68870        0.30115        0.16341        0.13481        0.19202        0.02860
          69752        0.34115        0.12070        0.09256        0.14884        0.02814
          71259        0.38115        0.06698        0.04042        0.09354        0.02656
          72946        0.42115        0.02112       -0.00403        0.04627        0.02515
          71362        0.46115        0.01220       -0.01190        0.03631        0.02411
          72508        0.50115        0.00000       -0.02631        0.02631        0.02631
          71085        0.54115        0.02053       -0.00358        0.04463        0.02410
          71121        0.58115        0.05230        0.02870        0.07590        0.02360
          72650        0.62115        0.07665        0.05208        0.10121        0.02457
          70813        0.66115        0.10567        0.08264        0.12870        0.02303
          68798        0.70115        0.14263        0.11803        0.16724        0.02461
          69025        0.74115        0.17839        0.15297        0.20380        0.02542
          71660        0.78115        0.20857        0.18490        0.23224        0.02367
          72419        0.82115        0.25801        0.23256        0.28345        0.02544
          71342        0.86115        0.29059        0.26656        0.31462        0.02403
          67638        0.90115        0.33451        0.31138        0.35764        0.02313
          65811        0.94115        0.38749        0.36361        0.41137        0.02388
          69522        0.98115        0.42576        0.40232        0.44920        0.02344
          75037        1.02115        0.45658        0.43260        0.48057        0.02399
          73840        1.06115        0.50723        0.48223        0.53223        0.02500
          71950        1.10115        0.55393        0.52777        0.58009        0.02616
          71823        1.14115        0.60274        0.57627        0.62920        0.02646
          70292        1.18115        0.66778        0.64213        0.69342        0.02565
          69814        1.22115        0.73577        0.70874        0.76280        0.02703
          71043        1.26115        0.78946        0.76329        0.81564        0.02618
          70993        1.30115        0.85070        0.82638        0.87503        0.02433
          70489        1.34115        0.92204        0.89638        0.94771        0.02567
          70353        1.38115        0.99142        0.96616        1.01668        0.02526
          72410        1.42115        1.04998        1.02461        1.07535        0.02537
          71913        1.46115        1.12953        1.10508        1.15398        0.02445
          70465        1.50115        1.22671        1.20105        1.25238        0.02566
          71617        1.54115        1.31517        1.28766        1.34267        0.02751
          71905        1.58115        1.40081        1.37351        1.42811        0.02730
          71015        1.62115        1.49619        1.46960        1.52278        0.02659
          70762        1.66115        1.59641        1.57005        1.62277        0.02636
          69887        1.70115        1.71063        1.68488        1.73638        0.02575
          71333        1.74115        1.81361        1.78594        1.84129        0.02767
          71416        1.78115        1.92734        1.90053        1.95414        0.02680
          72367        1.82115        2.04714        2.02027        2.07401        0.02687
          72105        1.86115        2.18556        2.15770        2.21341        0.02785
          70716        1.90115        2.31631        2.28930        2.34331        0.02700
          68926        1.94115        2.44869        2.42016        2.47723        0.02854
          67511        1.98115        2.60434        2.57594        2.63273        0.02839
          70605        2.02115        2.75976        2.73154        2.78797        0.02821
          74315        2.06115        2.91800        2.88823        2.94777        0.02977
          73672        2.10115        3.08685        3.05628        3.11741        0.03056
          70803        2.14115        3.26816        3.23755        3.29877        0.03061
          69832        2.18115        3.44268        3.41155        3.47381        0.03113
          70309        2.22115        3.62236        3.59220        3.65252        0.03016
          69430        2.26115        3.83493        3.80316        3.86669        0.03177
          70413        2.30115        4.03244        4.00139        4.06349        0.03105
          70220        2.34115        4.25488        4.22254        4.28722        0.03234
          69150        2.38115        4.50017        4.46579        4.53454        0.03437
          70309        2.42115        4.72836        4.69695        4.75977        0.03141
          70266        2.46115        4.98412        4.95000        5.01823        0.03412
          70652        2.50115        5.25020        5.21692        5.28349        0.03328
          72906        2.54115        5.51110        5.47803        5.54417        0.03307
          74350        2.58115        5.78690        5.75267        5.82113        0.03423
          71074        2.62115        6.10428        6.07082        6.13773        0.03346
          70497        2.66115        6.42572        6.39060        6.46085        0.03512
          72094        2.70115        6.75852        6.72250        6.79454        0.03602
          72075        2.74115        7.13042        7.09477        7.16608        0.03565
          71987        2.78115        7.51580        7.48039        7.55121        0.03541
          71030        2.82115        7.92151        7.88623        7.95680        0.03529
          71719        2.86115        8.35325        8.31648        8.39001        0.03676
          72718        2.90115        8.80990        8.77281        8.84699        0.03709
          71809        2.94115        9.29540        9.25901        9.33180        0.03640
          69991        2.98115        9.81680        9.77717        9.85644        0.03963
          67307        3.02115       10.41930       10.38165       10.45696        0.03766
          69912        3.06115       11.11754       11.08002       11.15506        0.03752
          71304        3.10115       11.88849       11.84991       11.92706        0.03857
          67641        3.14115       12.71101       12.67293       12.74909        0.03808
          67421        3.18115       13.53634       13.49633       13.57635        0.04001
          63944        3.22115       14.35198       14.31159       14.39238        0.04039
          62840        3.26115       15.14079       15.09959       15.18200        0.04120
          65677        3.30115       15.92319       15.87792       15.96845        0.04527
          64126        3.34115       16.66710       16.62208       16.71212        0.04502
          64925        3.38115       17.39817       17.35130       17.44504        0.04687
          77114        3.42115       18.16257       18.11002       18.21512        0.05255
         100408        3.46115       19.05486       19.00577       19.10396        0.04910
         111826        3.50115       20.21483       20.16235       20.26732        0.05249
          88615        3.54115       21.53990       21.49002       21.58977        0.04988
          59798        3.58115       22.81754       22.76010       22.87498        0.05744
          52676        3.62115       23.60274       23.55100       23.65448        0.05174
          61920        3.66115       23.92742       23.87748       23.97737        0.04994
          72380        3.70115       24.08097       24.02210       24.13984        0.05887
          81528        3.74115       24.10740       24.05728       24.15752        0.05012
          80580        3.78115       24.10470       24.05604       24.15336        0.04866
          60469        3.82115       23.96054       23.91387       24.00721        0.04667
          46077        3.86115       23.42674       23.38376       23.46973        0.04299
          55244        3.90115       22.43929       22.39056       22.48803        0.04873
          75414        3.94115       21.29169       21.24188       21.34149        0.04980
          80856        3.98115       20.28605       20.24152       20.33058        0.04453
          78850        4.02115       19.53698       19.48955       19.58441        0.04743
          77878        4.06115       18.90846       18.86597       18.95095        0.04249
          76606        4.10115       18.33440       18.29178       18.37702        0.04262
          71546        4.14115       17.76550       17.72280       17.80819        0.04269
          66138        4.18115       17.17832       17.13422       17.22241        0.04410
          63533        4.22115       16.56321       16.51726       16.60916        0.04595
          60423        4.26115       15.89976       15.85729       15.94223        0.04247
          59859        4.30115       15.19990       15.15859       15.24120        0.04130
          64300        4.34115       14.49595       14.45439       14.53751        0.04156
          72070        4.38115       13.78955       13.75056       13.82854        0.03899
          74384        4.42115       13.16444       13.12598       13.20289        0.03846
          72423        4.46115       12.61027       12.57168       12.64886        0.03859
          70985        4.50115       12.10433       12.06600       12.14267        0.03833
          72206        4.54115       11.64341       11.60405       11.68278        0.03936
          70892        4.58115       11.23618       11.19772       11.27464        0.03846
          71124        4.62115       10.83912       10.80062       10.87763        0.03851
          74547        4.66115       10.45651       10.41761       10.49541        0.03890
          74349        4.70115       10.14370       10.10645       10.18096        0.03726
          73129        4.74115        9.84806        9.81157        9.88456        0.03649
          71398        4.78115        9.54562        9.50847        9.58277        0.03715
          68560        4.82115        9.26492        9.22784        9.30200        0.03708
          67981        4.86115        8.99753        8.95998        9.03508        0.03755
          70021        4.90115        8.74179        8.70517        8.77842        0.03662
          72875        4.94115        8.49973        8.46221        8.53724        0.03751
          72800        4.98115        8.27578        8.23883        8.31273        0.03695
          70198        5.02115        8.06964        8.03072        8.10856        0.03892
          69323        5.06115        7.86380        7.82428        7.90332        0.03952
          71401        5.10115        7.66625        7.62798        7.70452        0.03827
          74122        5.14115        7.48704        7.44746        7.52663        0.03958
          73466        5.18115        7.31575        7.27743        7.35407        0.03832
          71504        5.22115        7.14768        7.11021        7.18516        0.03747
          69238        5.26115        7.01171        6.97333        7.05009        0.03838
          69143        5.30115        6.87567        6.83936        6.91198        0.03631
          69476        5.34115        6.75010        6.71382        6.78638        0.03628
          69875        5.38115        6.63563        6.59948        6.67177        0.03614
          72408        5.42115        6.51387        6.47764        6.55009        0.03623
          74471        5.46115        6.40344        6.36595        6.44094        0.03749
          73534        5.50115        6.30511        6.26810        6.34211        0.03700
          71627        5.54115        6.21687        6.17976        6.25398        0.03711
          70429        5.58115        6.14392        6.10633        6.18151        0.03759
          72123        5.62115        6.07997        6.04350        6.11644        0.03647
          74222        5.66115        6.02472        5.98604        6.06339        0.03868
          72145        5.70115        5.97894        5.94136        6.01653        0.03758
          69151        5.74115        5.93526        5.89706        5.97347        0.03820
          67446        5.78115        5.90621        5.86619        5.94622        0.04002
          67342        5.82115        5.86524        5.82680        5.90368        0.03844
          67292        5.86115        5.81610        5.77717        5.85504        0.03893
          68719        5.90115        5.76438        5.72542        5.80334        0.03896
          70741        5.94115        5.72724        5.68790        5.76657        0.03934
          73068        5.98115        5.69454        5.65478        5.73430        0.03976
          72568        6.02115        5.67757        5.63887        5.71628        0.03871
          67282        6.06115        5.66958        5.63007        5.70910        0.03951
          52827        6.10115        5.67131        5.62957        5.71304        0.04174
          30896        6.14115        5.69025        5.64733        5.73316        0.04291
          12657        6.18115        5.71473        5.67151        5.75795        0.04322
           3492        6.22115        5.74398        5.69866        5.78931        0.04532
            651        6.26115        5.77685        5.72386        5.82984        0.05299
             75        6.30115        5.86409        5.65495        6.07322        0.20914
             16        6.34115        5.57646        4.82436        6.32857        0.75211
