             RC            PMF     Correction    CorrectPMF
        0.02115        0.41195     0.12570843     0.53765843
        0.06115        0.31812    0.090193618     0.40831362
        0.10115        0.26343    0.057452323     0.32088232
        0.14115        0.21973    0.027411974     0.24714197
        0.18115        0.19817            0.0        0.19817
        0.22115        0.18568   -0.024856171     0.16082383
        0.26115        0.18095   -0.047229109     0.13372089
        0.30115        0.16341   -0.067191386    0.096218614
        0.34115         0.1207   -0.084815575    0.035884425
        0.38115        0.06698    -0.10017424   -0.033194245
        0.42115        0.02112    -0.11333997    -0.09221997
        0.46115         0.0122    -0.12438532    -0.11218532
        0.50115            0.0    -0.13338287    -0.13338287
        0.54115        0.02053    -0.14040518    -0.11987518
        0.58115         0.0523    -0.14552484   -0.093224843
        0.62115        0.07665    -0.14881441    -0.07216441
        0.66115        0.10567    -0.15034646   -0.044676458
        0.70115        0.14263    -0.15019356  -0.0075635625
        0.74115        0.17839    -0.14842829     0.02996171
        0.78115        0.20857    -0.14512322    0.063446783
        0.82115        0.25801    -0.14035091     0.11765909
        0.86115        0.29059    -0.13418395     0.15640605
        0.90115        0.33451     -0.1266949      0.2078151
        0.94115        0.38749    -0.11795633     0.26953367
        0.98115        0.42576    -0.10804082     0.31771918
        1.02115        0.45658    -0.09702093     0.35955907
        1.06115        0.50723   -0.084969238     0.42226076
        1.10115        0.55393   -0.071958319     0.48197168
        1.14115        0.60274   -0.058060739     0.54467926
        1.18115        0.66778   -0.043349071     0.62443093
        1.22115        0.73577   -0.027895885     0.70787411
        1.26115        0.78946   -0.011773758     0.77768624
        1.30115         0.8507   0.0049447447     0.85564474
        1.34115        0.92204    0.022187049     0.94422705
        1.38115        0.99142    0.039880581      1.0313006
        1.42115        1.04998    0.057952777      1.1079328
        1.46115        1.12953    0.076331056      1.2058611
        1.50115        1.22671    0.094942853      1.3216529
        1.54115        1.31517     0.11371559      1.4288856
        1.58115        1.40081     0.13257671      1.5333867
        1.62115        1.49619     0.15145362      1.6476436
        1.66115        1.59641     0.17027377      1.7666838
        1.70115        1.71063     0.18896457      1.8995946
        1.74115        1.81361     0.20745346      2.0210635
        1.78115        1.92734     0.22566787      2.1530079
        1.82115        2.04714     0.24353522      2.2906752
        1.86115        2.18556     0.26098294      2.4465429
        1.90115        2.31631     0.27793847      2.5942485
        1.94115        2.44869     0.29432922      2.7430192
        1.98115        2.60434     0.31008263      2.9144226
        2.02115        2.75976     0.32512612      3.0848861
        2.06115          2.918     0.33938714      3.2573871
        2.10115        3.08685     0.35279309      3.4396431
        2.14115        3.26816     0.36527142      3.6334314
        2.18115        3.44268     0.37674955      3.8194296
        2.22115        3.62236     0.38715491      4.0095149
        2.26115        3.83493     0.39641493      4.2313449
        2.30115        4.03244     0.40445703       4.436897
        2.34115        4.25488     0.41120864      4.6660886
        2.38115        4.50017     0.41659721      4.9167672
        2.42115        4.72836     0.42055013      5.1489101
        2.46115        4.98412     0.42299486      5.4071149
        2.50115         5.2502     0.42385882      5.6740588
        2.54115         5.5111     0.42306944      5.9341694
        2.58115         5.7869     0.42055414      6.2074541
        2.62115        6.10428     0.41624036      6.5205204
        2.66115        6.42572     0.41004072      6.8357607
        2.70115        6.75852     0.40180135      7.1603214
        2.74115        7.13042     0.39134967      7.5217697
        2.78115         7.5158      0.3785323      7.8943323
        2.82115        7.92151     0.36325051      8.2847605
        2.86115        8.35325     0.34541525      8.6986652
        2.90115         8.8099     0.32493743      9.1348374
        2.94115         9.2954       0.301728       9.597128
        2.98115         9.8168     0.27568047       10.09248
        3.02115        10.4193     0.24644118      10.665741
        3.06115       11.11754     0.21347282      11.331013
        3.10115       11.88849     0.17625142      12.064741
        3.14115       12.71101     0.13466057      12.845671
        3.18115       13.53634    0.088991598      13.625332
        3.22115       14.35198     0.03964055      14.391621
        3.26115       15.14079   -0.012135643      15.128654
        3.30115       15.92319   -0.064588393      15.858602
        3.34115        16.6671    -0.11596335      16.551137
        3.38115       17.39817    -0.16450617      17.233664
        3.42115       18.16257    -0.20846251      17.954107
        3.46115       19.05486    -0.24607802      18.808782
        3.50115       20.21483    -0.27559836      19.939232
        3.54115        21.5399    -0.29504326      21.244857
        3.58115       22.81754    -0.28563894      22.531901
        3.62115       23.60274    -0.20052653      23.402213
        3.66115       23.92742     0.00663866      23.934059
        3.70115       24.08097     0.32089121      24.401861
        3.74115        24.1074     0.67763844      24.785038
        3.78115        24.1047      1.0565565      25.161256
        3.82115       23.96054      1.4588988      25.419439
        3.86115       23.42674       1.881808      25.308548
        3.90115       22.43929      2.3212434      24.760533
        3.94115       21.29169      2.7731645      24.064854
        3.98115       20.28605      3.2335303       23.51958
        4.02115       19.53698      3.6983003       23.23528
        4.06115       18.90846      4.1634336      23.071894
        4.10115        18.3344      4.6248897       22.95929
        4.14115        17.7655      5.0786278      22.844128
        4.18115       17.17832      5.5206072      22.698927
        4.22115       16.56321      5.9467872      22.509997
        4.26115       15.89976       6.353127      22.252887
        4.30115        15.1999       6.735586      21.935486
        4.34115       14.49595      7.0901234      21.586073
        4.38115       13.78955      7.4128754      21.202425
        4.42115       13.16444      7.7012254      20.865665
        4.46115       12.61027      7.9530935      20.563363
        4.50115       12.10433      8.1667851      20.271115
        4.54115       11.64341      8.3436356      19.987046
        4.58115       11.23618      8.4864188      19.722599
        4.62115       10.83912      8.5979173      19.437037
        4.66115       10.45651      8.6809138      19.137424
        4.70115        10.1437      8.7381909      18.881891
        4.74115        9.84806      8.7725148      18.620575
        4.78115        9.54562      8.7866105      18.332231
        4.82115        9.26492      8.7831625      18.048083
        4.86115        8.99753      8.7640995       17.76163
        4.90115        8.74179      8.7306088      17.472399
        4.94115        8.49973      8.6838464      17.183576
        4.98115        8.27578      8.6249683      16.900748
        5.02115        8.06964      8.5551307      16.624771
        5.06115         7.8638      8.4754896       16.33929
        5.10115        7.66625      8.3872009      16.053451
        5.14115        7.48704      8.2914209      15.778461
        5.18115        7.31575      8.1893054      15.505055
        5.22115        7.14768      8.0820107      15.229691
        5.26115        7.01171      7.9706927      14.982403
        5.30115        6.87567      7.8565075      14.732177
        5.34115         6.7501      7.7406111      14.490711
        5.38115        6.63563      7.6241597       14.25979
        5.42115        6.51387      7.5083092      14.022179
        5.46115        6.40344      7.3942157      13.797656
        5.50115        6.30511      7.2830353      13.588145
        5.54115        6.21687      7.1759239      13.392794
        5.58115        6.14392      7.0740378      13.217958
        5.62115        6.07997      6.9785329      13.058503
        5.66115        6.02472      6.8905652      12.915285
        5.70115        5.97894      6.8112909      12.790231
        5.74115        5.93526       6.741866      12.677126
        5.78115        5.90621      6.6834465      12.589656
        5.82115        5.86524      6.6371885      12.502429
        5.86115         5.8161      6.6042481      12.420348
        5.90115        5.76438      6.5857811      12.350161
        5.94115        5.72724       6.582944      12.310184
        5.98115        5.69454      6.5968925      12.291432
        6.02115        5.67757      6.6287827      12.306353
        6.06115        5.66958      6.6797708      12.349351
        6.10115        5.67131      6.7510128      12.422323
        6.14115        5.69025      6.8436646      12.533915
        6.18115        5.71473      6.9588825      12.673612
