#Bootstrap calculation took   1.1 minutes with   200 samples
#Barrier height:           25.0540269295
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
             25       -0.18995        1.06558        0.85138        1.27977        0.21419
            455       -0.14995        0.89314        0.81139        0.97489        0.08175
           3834       -0.10995        0.84731        0.81066        0.88397        0.03666
          18800       -0.06995        0.76142        0.72788        0.79496        0.03354
          49758       -0.02995        0.68118        0.64965        0.71271        0.03153
          81623        0.01005        0.55610        0.52580        0.58641        0.03031
          88364        0.05005        0.43384        0.40636        0.46133        0.02749
          83261        0.09005        0.32541        0.29702        0.35380        0.02839
          78189        0.13005        0.29179        0.26258        0.32100        0.02921
          76830        0.17005        0.27834        0.25199        0.30469        0.02635
          76445        0.21005        0.25272        0.22455        0.28090        0.02818
          76335        0.25005        0.22968        0.20494        0.25442        0.02474
          79116        0.29005        0.19578        0.16869        0.22287        0.02709
          79230        0.33005        0.15212        0.12622        0.17801        0.02589
          78336        0.37005        0.10667        0.08066        0.13269        0.02601
          80634        0.41005        0.06113        0.03384        0.08841        0.02728
          80623        0.45005        0.03088        0.00637        0.05539        0.02451
          80315        0.49005        0.01202       -0.01274        0.03679        0.02477
          79998        0.53005        0.00000       -0.02530        0.02530        0.02530
          78647        0.57005        0.01010       -0.01448        0.03468        0.02458
          81695        0.61005        0.00895       -0.01882        0.03671        0.02776
          80983        0.65005        0.01872       -0.00685        0.04429        0.02557
          78963        0.69005        0.04499        0.01894        0.07104        0.02605
          79046        0.73005        0.06862        0.04173        0.09551        0.02689
          79240        0.77005        0.09224        0.06788        0.11660        0.02436
          79045        0.81005        0.12696        0.10092        0.15300        0.02604
          78659        0.85005        0.16575        0.14029        0.19122        0.02546
          81896        0.89005        0.19850        0.17294        0.22405        0.02555
          82197        0.93005        0.24616        0.22159        0.27072        0.02457
          76078        0.97005        0.30589        0.28126        0.33053        0.02463
          74394        1.01005        0.34274        0.31399        0.37149        0.02875
          74638        1.05005        0.39579        0.36890        0.42267        0.02688
          78624        1.09005        0.43969        0.41362        0.46576        0.02607
          80702        1.13005        0.48499        0.45771        0.51227        0.02728
          80664        1.17005        0.53331        0.50865        0.55797        0.02466
          81316        1.21005        0.60327        0.57618        0.63036        0.02709
          81172        1.25005        0.66639        0.63995        0.69283        0.02644
          78879        1.29005        0.73614        0.70914        0.76315        0.02701
          78268        1.33005        0.81631        0.78665        0.84597        0.02966
          77797        1.37005        0.87541        0.84915        0.90168        0.02627
          75324        1.41005        0.93662        0.90812        0.96511        0.02850
          74830        1.45005        1.00212        0.97264        1.03159        0.02947
          77769        1.49005        1.08329        1.05798        1.10861        0.02532
          84545        1.53005        1.14964        1.12384        1.17544        0.02580
          82955        1.57005        1.22090        1.19661        1.24519        0.02429
          78464        1.61005        1.29974        1.27430        1.32519        0.02545
          77228        1.65005        1.39217        1.36526        1.41909        0.02691
          78072        1.69005        1.49363        1.46785        1.51941        0.02578
          78990        1.73005        1.61173        1.58191        1.64154        0.02981
          78352        1.77005        1.72977        1.70196        1.75758        0.02781
          78826        1.81005        1.85297        1.82543        1.88052        0.02755
          78359        1.85005        1.98640        1.95711        2.01568        0.02928
          77718        1.89005        2.11049        2.08463        2.13636        0.02586
          79914        1.93005        2.24863        2.22093        2.27632        0.02770
          80929        1.97005        2.37873        2.35245        2.40501        0.02628
          78321        2.01005        2.51994        2.49220        2.54767        0.02773
          78314        2.05005        2.68241        2.65110        2.71371        0.03130
