#Bootstrap calculation took   0.4 minutes with   200 samples
#Barrier height:           11.2245855881
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
             10       -0.26197        0.52827       -0.29053        1.34707        0.81880
             96       -0.22197        0.38495        0.19115        0.57874        0.19380
            639       -0.18197        0.51649        0.43989        0.59309        0.07660
           3542       -0.14197        0.52406        0.48911        0.55901        0.03495
          13015       -0.10197        0.53039        0.50009        0.56070        0.03030
          32453       -0.06197        0.52339        0.49909        0.54770        0.02430
          57862       -0.02197        0.48824        0.46572        0.51075        0.02252
          77181        0.01803        0.43580        0.41346        0.45813        0.02233
          88254        0.05803        0.34829        0.32652        0.37007        0.02177
          88151        0.09803        0.28139        0.25897        0.30382        0.02242
          86531        0.13803        0.21077        0.18878        0.23275        0.02198
          87015        0.17803        0.14451        0.12472        0.16431        0.01979
          89413        0.21803        0.09057        0.06962        0.11152        0.02095
          89297        0.25803        0.05999        0.04102        0.07897        0.01897
          88431        0.29803        0.04166        0.02279        0.06054        0.01887
          86906        0.33803        0.02731        0.00683        0.04778        0.02048
          85406        0.37803        0.01272       -0.00634        0.03178        0.01906
          84397        0.41803        0.00631       -0.01407        0.02669        0.02038
          85032        0.45803        0.00000       -0.01780        0.01780        0.01780
          87985        0.49803        0.00060       -0.01760        0.01879        0.01819
          87822        0.53803        0.02321        0.00449        0.04193        0.01872
          87148        0.57803        0.02976        0.01141        0.04812        0.01835
          86117        0.61803        0.05455        0.03709        0.07201        0.01746
          85580        0.65803        0.09087        0.07269        0.10904        0.01817
          86668        0.69803        0.12401        0.10660        0.14142        0.01741
          88838        0.73803        0.16535        0.14663        0.18406        0.01872
          88908        0.77803        0.19822        0.17980        0.21664        0.01842
          83547        0.81803        0.25027        0.23195        0.26858        0.01831
          83698        0.85803        0.28791        0.26673        0.30909        0.02118
          85189        0.89803        0.33003        0.31149        0.34858        0.01855
          85684        0.93803        0.37978        0.36198        0.39759        0.01780
          87611        0.97803        0.41580        0.39777        0.43383        0.01803
          86998        1.01803        0.46555        0.44744        0.48367        0.01811
          85469        1.05803        0.52607        0.50668        0.54545        0.01938
          85482        1.09803        0.58633        0.56665        0.60601        0.01968
          88424        1.13803        0.64517        0.62644        0.66391        0.01874
          88332        1.17803        0.72701        0.70603        0.74798        0.02098
          87664        1.21803        0.79396        0.77523        0.81270        0.01874
          85406        1.25803        0.86866        0.85098        0.88635        0.01769
          83542        1.29803        0.94604        0.92607        0.96601        0.01997
          82973        1.33803        1.02346        1.00530        1.04162        0.01816
          84464        1.37803        1.10097        1.08102        1.12092        0.01995
          84478        1.41803        1.18439        1.16471        1.20407        0.01968
          85236        1.45803        1.27371        1.25556        1.29185        0.01815
          88158        1.49803        1.36235        1.34039        1.38431        0.02196
          87303        1.53803        1.45962        1.43987        1.47938        0.01976
          86756        1.57803        1.56463        1.54653        1.58274        0.01811
          87809        1.61803        1.66527        1.64596        1.68459        0.01931
          84509        1.65803        1.78225        1.76460        1.79990        0.01765
          87795        1.69803        1.87705        1.85889        1.89521        0.01816
          86741        1.73803        2.00626        1.98767        2.02485        0.01859
          85517        1.77803        2.14054        2.12280        2.15828        0.01774
          88488        1.81803        2.27235        2.25272        2.29199        0.01963
          88822        1.85803        2.40942        2.39222        2.42663        0.01721
          85006        1.89803        2.57460        2.55682        2.59238        0.01778
          83201        1.93803        2.73880        2.71865        2.75895        0.02015
          84385        1.97803        2.88988        2.87252        2.90725        0.01737
          90651        2.01803        3.04580        3.02674        3.06486        0.01906
          91653        2.05803        3.23128        3.21298        3.24958        0.01830
          87169        2.09803        3.42619        3.40741        3.44498        0.01878
          84826        2.13803        3.62936        3.60879        3.64993        0.02057
          84859        2.17803        3.83460        3.81589        3.85331        0.01871
          85565        2.21803        4.04922        4.03036        4.06809        0.01887
          85726        2.25803        4.27608        4.25468        4.29747        0.02139
          84457        2.29803        4.52005        4.50074        4.53937        0.01932
          85069        2.33803        4.78325        4.76218        4.80432        0.02107
          86217        2.37803        5.04665        5.02278        5.07051        0.02387
          86744        2.41803        5.33375        5.31452        5.35297        0.01922
          91231        2.45803        5.64378        5.62145        5.66611        0.02233
          92676        2.49803        5.95655        5.93577        5.97733        0.02078
          88448        2.53803        6.28039        6.26045        6.30034        0.01994
          83134        2.57803        6.63233        6.60925        6.65542        0.02308
          81329        2.61803        7.00478        6.98580        7.02375        0.01897
          86552        2.65803        7.37459        7.35336        7.39582        0.02123
          84131        2.69803        7.78863        7.76595        7.81130        0.02267
          80329        2.73803        8.21138        8.19109        8.23167        0.02029
          78868        2.77803        8.65253        8.62849        8.67657        0.02404
          76754        2.81803        9.06201        9.03892        9.08510        0.02309
          75779        2.85803        9.43756        9.41564        9.45948        0.02192
          78963        2.89803        9.78162        9.75478        9.80846        0.02684
          79158        2.93803       10.05690       10.03142       10.08238        0.02548
          77618        2.97803       10.26717       10.24544       10.28890        0.02173
          81331        3.01803       10.40557       10.37985       10.43129        0.02572
          84607        3.05803       10.45100       10.42513       10.47686        0.02587
          86052        3.09803       10.41743       10.39375       10.44111        0.02368
          88686        3.13803       10.30833       10.27987       10.33680        0.02846
          89412        3.17803       10.11940       10.09344       10.14536        0.02596
          90167        3.21803        9.86500        9.83257        9.89742        0.03242
          87560        3.25803        9.56243        9.52712        9.59774        0.03531
          85643        3.29803        9.19542        9.16884        9.22201        0.02659
          84549        3.33803        8.82357        8.79107        8.85608        0.03250
          85071        3.37803        8.39293        8.36321        8.42264        0.02971
          83908        3.41803        7.96317        7.93716        7.98918        0.02601
          89358        3.45803        7.55266        7.51998        7.58535        0.03268
          91517        3.49803        7.18120        7.15293        7.20947        0.02827
          91785        3.53803        6.90258        6.87607        6.92908        0.02650
          92965        3.57803        6.73070        6.70270        6.75871        0.02800
          90298        3.61803        6.64082        6.61584        6.66580        0.02498
          83830        3.65803        6.62300        6.59633        6.64967        0.02667
          82855        3.69803        6.60361        6.57874        6.62849        0.02488
          85137        3.73803        6.61261        6.58781        6.63741        0.02480
          85370        3.77803        6.63400        6.60817        6.65983        0.02583
          83159        3.81803        6.63238        6.60915        6.65561        0.02323
          84691        3.85803        6.64793        6.62343        6.67243        0.02450
          87900        3.89803        6.67688        6.65141        6.70235        0.02547
          87690        3.93803        6.71800        6.69465        6.74134        0.02335
          86412        3.97803        6.82200        6.79276        6.85125        0.02924
          90535        4.01803        6.95545        6.92911        6.98179        0.02634
          91403        4.05803        7.18871        7.16259        7.21484        0.02612
          92060        4.09803        7.48025        7.45122        7.50928        0.02903
          90652        4.13803        7.80940        7.78462        7.83417        0.02478
          88760        4.17803        8.20222        8.17218        8.23227        0.03004
          84800        4.21803        8.62876        8.59851        8.65901        0.03025
          83234        4.25803        9.06169        9.03417        9.08920        0.02751
          83742        4.29803        9.50639        9.47180        9.54097        0.03459
          84180        4.33803        9.90002        9.86878        9.93125        0.03123
          86070        4.37803       10.25532       10.22880       10.28185        0.02653
          89321        4.41803       10.57777       10.54974       10.60579        0.02803
          88642        4.45803       10.84922       10.82650       10.87195        0.02272
          89126        4.49803       11.04021       11.01474       11.06567        0.02547
          86099        4.53803       11.17622       11.14925       11.20318        0.02697
          83932        4.57803       11.22459       11.20029       11.24888        0.02429
          81552        4.61803       11.21613       11.18896       11.24329        0.02717
          81411        4.65803       11.11858       11.09297       11.14419        0.02561
          79830        4.69803       10.95635       10.93395       10.97874        0.02239
          79619        4.73803       10.72400       10.69949       10.74850        0.02451
          77968        4.77803       10.44562       10.42367       10.46757        0.02195
          79991        4.81803       10.12247       10.10060       10.14435        0.02188
          81961        4.85803        9.79440        9.76955        9.81925        0.02485
          82455        4.89803        9.43967        9.41769        9.46164        0.02198
          83831        4.93803        9.08520        9.06428        9.10611        0.02091
          85412        4.97803        8.76826        8.74661        8.78992        0.02166
          85943        5.01803        8.46405        8.44401        8.48409        0.02004
          85264        5.05803        8.17897        8.15693        8.20101        0.02204
          87087        5.09803        7.89309        7.87002        7.91616        0.02307
          87726        5.13803        7.62550        7.60481        7.64619        0.02069
          87370        5.17803        7.38087        7.36007        7.40167        0.02080
          88517        5.21803        7.15823        7.13811        7.17835        0.02012
          90766        5.25803        6.96644        6.94556        6.98733        0.02088
          91703        5.29803        6.76774        6.74623        6.78925        0.02151
          85943        5.33803        6.59480        6.57581        6.61380        0.01899
          84088        5.37803        6.43528        6.41232        6.45823        0.02296
          84888        5.41803        6.27051        6.24731        6.29371        0.02320
          84595        5.45803        6.11192        6.09218        6.13165        0.01974
          86336        5.49803        5.96755        5.94607        5.98904        0.02149
          86405        5.53803        5.85687        5.83587        5.87787        0.02100
          89246        5.57803        5.74535        5.72394        5.76676        0.02141
          88445        5.61803        5.66023        5.63616        5.68431        0.02407
          87711        5.65803        5.57349        5.55217        5.59481        0.02132
          88706        5.69803        5.49607        5.47422        5.51792        0.02185
          88729        5.73803        5.41426        5.39197        5.43654        0.02228
          84545        5.77803        5.34397        5.32229        5.36565        0.02168
          83520        5.81803        5.27768        5.25363        5.30173        0.02405
          83832        5.85803        5.23781        5.21722        5.25841        0.02059
          84723        5.89803        5.20884        5.18783        5.22986        0.02102
          85790        5.93803        5.17525        5.15206        5.19844        0.02319
          85869        5.97803        5.14762        5.12640        5.16883        0.02121
          87317        6.01803        5.12019        5.09664        5.14375        0.02355
          87309        6.05803        5.09647        5.07422        5.11871        0.02224
          86527        6.09803        5.06796        5.04655        5.08937        0.02141
          84423        6.13803        5.06022        5.03789        5.08256        0.02234
          85178        6.17803        5.05064        5.02923        5.07205        0.02141
          87772        6.21803        5.04659        5.02525        5.06793        0.02134
          88663        6.25803        5.05310        5.03078        5.07542        0.02232
          86844        6.29803        5.05984        5.03890        5.08077        0.02093
          80974        6.33803        5.07062        5.04848        5.09276        0.02214
          64204        6.37803        5.09179        5.06882        5.11477        0.02297
          38876        6.41803        5.09836        5.07693        5.11979        0.02143
          17219        6.45803        5.06251        5.03969        5.08533        0.02282
           4792        6.49803        5.05143        5.01979        5.08308        0.03164
            982        6.53803        4.96771        4.89474        5.04067        0.07297
            129        6.57803        4.89369        4.72298        5.06439        0.17070
             10        6.61803        4.99475        4.56505        5.42446        0.42970
              5        6.65803        3.70459        3.07439        4.33479        0.63020
