#Bootstrap calculation took   1.0 minutes with   200 samples
#Barrier height:           15.4743682849
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
           1777       -0.24689       -1.66022       -1.78550       -1.53493        0.12529
          22603       -0.14689       -1.48735       -1.59292       -1.38179        0.10556
          81062       -0.04689       -1.36086       -1.46323       -1.25848        0.10237
         115084        0.05311       -1.31188       -1.41478       -1.20898        0.10290
         119975        0.15311       -1.27063       -1.37504       -1.16622        0.10441
         132703        0.25311       -1.14601       -1.24915       -1.04288        0.10314
         133812        0.35311       -0.94511       -1.04622       -0.84400        0.10111
         133133        0.45311       -0.70877       -0.80829       -0.60925        0.09952
         134487        0.55311       -0.38095       -0.47991       -0.28200        0.09895
         129981        0.65311        0.00000       -0.10055        0.10055        0.10055
         120358        0.75311        0.42923        0.32878        0.52968        0.10045
         127183        0.85311        0.87970        0.77831        0.98110        0.10139
         130577        0.95311        1.39317        1.29268        1.49367        0.10049
         131371        1.05311        2.01319        1.91369        2.11269        0.09950
         149032        1.15311        2.77979        2.68065        2.87893        0.09914
         159213        1.25311        3.70967        3.61044        3.80890        0.09923
         146403        1.35311        4.87823        4.77841        4.97804        0.09981
         128163        1.45311        6.46887        6.37059        6.56715        0.09828
          94994        1.55311        8.53853        8.43785        8.63920        0.10067
          70763        1.65311       10.76580       10.68775       10.84384        0.07805
         126622        1.75311       12.95679       12.89496       13.01862        0.06183
         100774        1.85311       15.13624       15.08188       15.19061        0.05437
         147109        1.95311       15.47437       15.42236       15.52637        0.05200
          89890        2.05311       15.25259       15.21429       15.29089        0.03830
         117072        2.15311       13.91130       13.86021       13.96238        0.05109
         200008        2.25311       11.17004       11.11184       11.22825        0.05821
         121046        2.35311        8.87238        8.80880        8.93597        0.06358
         104272        2.45311        6.92452        6.86202        6.98701        0.06250
         123576        2.55311        5.09472        5.03332        5.15611        0.06139
         149568        2.65311        3.58421        3.52284        3.64558        0.06137
         141721        2.75311        2.45689        2.39428        2.51951        0.06261
         134295        2.85311        1.58462        1.52273        1.64650        0.06188
         135346        2.95311        0.79463        0.73258        0.85669        0.06205
         133319        3.05311        0.08032        0.01881        0.14182        0.06150
         128276        3.15311       -0.54736       -0.60789       -0.48683        0.06053
         129719        3.25311       -1.09022       -1.15115       -1.02929        0.06093
         133381        3.35311       -1.57674       -1.63814       -1.51533        0.06140
         129889        3.45311       -2.00725       -2.06885       -1.94564        0.06160
         130467        3.55311       -2.38253       -2.44484       -2.32022        0.06231
         128922        3.65311       -2.71359       -2.77647       -2.65070        0.06288
         128327        3.75311       -3.00024       -3.06230       -2.93818        0.06206
         126216        3.85311       -3.24819       -3.31147       -3.18491        0.06328
         125905        3.95311       -3.50084       -3.56223       -3.43946        0.06138
         124949        4.05311       -3.71225       -3.77390       -3.65060        0.06165
         128127        4.15311       -3.90151       -3.96485       -3.83816        0.06334
         127121        4.25311       -4.08178       -4.14670       -4.01686        0.06492
         130423        4.35311       -4.23957       -4.30256       -4.17658        0.06299
         132477        4.45311       -4.37094       -4.43300       -4.30887        0.06207
         128689        4.55311       -4.46329       -4.52718       -4.39939        0.06389
         129729        4.65311       -4.52745       -4.59155       -4.46336        0.06409
         128868        4.75311       -4.60435       -4.66828       -4.54042        0.06393
         130695        4.85311       -4.65495       -4.71774       -4.59216        0.06279
         133352        4.95311       -4.69090       -4.75576       -4.62605        0.06486
         124247        5.05311       -4.68842       -4.75605       -4.62078        0.06764
         122072        5.15311       -4.65242       -4.71903       -4.58581        0.06661
          74459        5.25311       -4.65054       -4.71788       -4.58320        0.06734
          15697        5.35311       -4.80203       -4.87283       -4.73124        0.07079
            693        5.45311       -4.96306       -5.07102       -4.85509        0.10797
              8        5.55311       -4.89123       -5.61230       -4.17016        0.72107
