#Bootstrap calculation took   0.8 minutes with   200 samples
#Barrier height:            6.0964113253
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
            101       -0.32170        1.58888        1.41784        1.75992        0.17104
           1051       -0.22170        1.03202        0.96548        1.09857        0.06655
          24759       -0.12170        0.31065        0.26939        0.35190        0.04126
         148251       -0.02170        0.07255        0.02653        0.11857        0.04602
         166735        0.07830       -0.20259       -0.24533       -0.15985        0.04274
         133980        0.17830       -0.31862       -0.35775       -0.27950        0.03913
         181693        0.27830       -0.27848       -0.31656       -0.24039        0.03808
         195575        0.37830       -0.24018       -0.27802       -0.20235        0.03784
         182087        0.47830       -0.14979       -0.18763       -0.11195        0.03784
         172756        0.57830        0.00000       -0.03855        0.03855        0.03855
         165623        0.67830        0.15038        0.11258        0.18817        0.03780
         171960        0.77830        0.29745        0.26094        0.33395        0.03650
         173240        0.87830        0.49199        0.45482        0.52915        0.03716
         168104        0.97830        0.71921        0.68150        0.75692        0.03771
         167267        1.07830        0.98674        0.94959        1.02388        0.03715
         178907        1.17830        1.27505        1.23866        1.31144        0.03639
         175364        1.27830        1.64411        1.60841        1.67981        0.03570
         170731        1.37830        2.13626        2.10214        2.17037        0.03411
         166482        1.47830        2.71989        2.68496        2.75482        0.03493
         160815        1.57830        3.33131        3.29425        3.36837        0.03706
         161752        1.67830        4.02422        3.98962        4.05883        0.03461
         160063        1.77830        4.87285        4.84145        4.90425        0.03140
         157323        1.87830        5.63058        5.59936        5.66181        0.03123
         172451        1.97830        6.09641        6.06490        6.12792        0.03151
         190619        2.07830        6.08632        6.05552        6.11713        0.03080
         195989        2.17830        5.61404        5.58192        5.64616        0.03212
         196057        2.27830        4.78656        4.75644        4.81669        0.03013
         193058        2.37830        3.79856        3.76995        3.82718        0.02861
         183388        2.47830        3.07359        3.04441        3.10277        0.02918
         141894        2.57830        2.92902        2.89868        2.95937        0.03034
         142941        2.67830        3.37772        3.34445        3.41098        0.03326
         162175        2.77830        4.08918        4.06072        4.11763        0.02846
         169902        2.87830        4.81330        4.78520        4.84141        0.02810
         177882        2.97830        5.41008        5.38311        5.43705        0.02697
         183513        3.07830        5.68305        5.65665        5.70945        0.02640
         179546        3.17830        5.53879        5.51156        5.56601        0.02723
         165988        3.27830        5.00473        4.97455        5.03492        0.03019
         158733        3.37830        4.21642        4.18455        4.24829        0.03187
         167172        3.47830        3.34545        3.31315        3.37775        0.03230
         170486        3.57830        2.54633        2.51392        2.57874        0.03241
         176226        3.67830        1.84196        1.81044        1.87347        0.03152
         169814        3.77830        1.25578        1.22349        1.28808        0.03230
         171930        3.87830        0.70823        0.67371        0.74274        0.03452
         170774        3.97830        0.24929        0.21415        0.28444        0.03514
         175954        4.07830       -0.19170       -0.22593       -0.15746        0.03424
         170825        4.17830       -0.56453       -0.59980       -0.52926        0.03527
         167034        4.27830       -0.89481       -0.93034       -0.85928        0.03553
         171802        4.37830       -1.16919       -1.20068       -1.13769        0.03150
         168961        4.47830       -1.43166       -1.46350       -1.39982        0.03184
         163971        4.57830       -1.67171       -1.70714       -1.63628        0.03543
         174093        4.67830       -1.88386       -1.91892       -1.84879        0.03506
         176186        4.77830       -2.07429       -2.10916       -2.03942        0.03487
         172032        4.87830       -2.19979       -2.23441       -2.16518        0.03461
         173303        4.97830       -2.32331       -2.36055       -2.28607        0.03724
         167786        5.07830       -2.41289       -2.44917       -2.37662        0.03627
         167139        5.17830       -2.49869       -2.53568       -2.46170        0.03699
         166694        5.27830       -2.59295       -2.62899       -2.55692        0.03603
         162230        5.37830       -2.70129       -2.73958       -2.66299        0.03829
         164278        5.47830       -2.79198       -2.83176       -2.75221        0.03977
         137005        5.57830       -2.87603       -2.91716       -2.83490        0.04113
          49916        5.67830       -3.01242       -3.06281       -2.96203        0.05039
           5434        5.77830       -3.20180       -3.27770       -3.12590        0.07590
            200        5.87830       -3.57557       -3.73816       -3.41298        0.16259
